rank,tweet_id,text,score,point,class,Calibrated score,log_score
1,4.67032303621784e+17,Got the job and I start tomorrow,0.974762141704559,0,1,0.9588642411079642,-0.011101346504224
2,2310182824.0,I don't have to work today or tomorrow!!!! Yay!,0.974678754806519,0,0,0.9563490970204949,-0.0111385002027729
3,3.95205006364e+17,I start a new school tomorrow.,0.974637687206268,0,0,0.9550548601284957,-0.0111567993683596
4,1.15314383761682e+18,"i start my first day tomorrow :,)",0.974601566791534,0,1,0.9538851259408483,-0.0111728947725258
5,2.48077105492009e+17,So i start my new job tomorrow and im excited!,0.974596679210663,0,1,0.9537245455770916,-0.0111750727443216
6,7.90605889992397e+17,I just got hired at another place !,0.974583566188812,0,1,0.9532909793120428,-0.01118091613725
7,7.40048148739957e+17,I start my first day at work tomorrow 🤗,0.974469304084778,0,1,0.949338976793007,-0.0112318366659706
8,2.37916142683951e+17,I got the job and I start Monday :),0.97446197271347,0,1,0.9490744220974985,-0.0112351040711807
9,8.10018392971313e+17,I start my new job tomorrow and I'm actually really excited,0.974444508552551,0,1,0.9484387226697495,-0.0112428875013158
10,9.96918200053842e+17,I started my new job today and I’ve never been so happy to start somewhere,0.974438965320587,0,1,0.9482353171296403,-0.0112453580390222
11,3275889097842688.0,I got my first job! I start monday!,0.974426627159119,1,1,0.9477797330633301,-0.0112508570282426
12,1.69938524202738e+17,I start my first day at work tomorrow :),0.974424600601196,1,1,0.9477045261072083,-0.0112517602505211
13,1.02431531365823e+18,I just got hired on the spot bro,0.974412500858307,1,1,0.947253271617968,-0.0112571530579192
14,1.18611798158104e+18,I start at my new job tomorrow.,0.974409222602844,1,1,0.9471303518917622,-0.0112586141749015
15,4.06645943602131e+17,Got the job! I start Monday!,0.974381685256958,1,1,0.9460866352868471,-0.0112708877516276
16,2.50299615210004e+17,Just got hired on the spot! 😃😃,0.974381268024445,1,1,0.9460706665359847,-0.0112710737175787
17,8.01313225388204e+17,Just got a new job!!!😁,0.974330425262451,1,1,0.9440895604357428,-0.0112937355931756
18,1.09221248137468e+18,Tomorrow I start my new job !,0.974295377731323,1,1,0.9426824995720535,-0.0113093578325522
19,8.23686285462159e+17,I just got a new job 😍😍😍,0.974285066127777,1,1,0.942261947377995,-0.0113139542786817
20,1.01144772737967e+18,start a new job tomorrow,0.974271237850189,1,1,0.9416932212638158,-0.0113201183752886
101,3.80392235998532e+17,i got job #2!,0.973858892917633,2,1,0.9219902825979658,-0.0115039655718345
102,4.39226852486308e+17,I just got hired as a suicide girl,0.973857522010803,2,1,0.9219151120744729,-0.0115045769311339
103,1.10221004995326e+18,I start my new job today I’m so excited!!!,0.973850607872009,2,1,0.9215349313117003,-0.0115076603215858
104,1868068931.0,tomorrow I get to eat!!! yay!!!,0.973848938941956,2,0,0.9214428979969174,-0.0115084045915261
105,15136402426.0,yay i got a new phone!!!!!,0.973846673965454,2,0,0.9213178301177543,-0.0115094146742001
106,3.4019504866474e+17,Just got another job!,0.973844170570374,2,1,0.9211793751678476,-0.0115105310840989
107,6.31193449572635e+17,Just got hired at which wich😁,0.973843038082123,2,1,0.9211166641105853,-0.0115110361276151
108,1.10490053951773e+18,I start my new job tomorrow and I’m very excited and very scared ☺️😅,0.973840355873108,2,1,0.9209679471587833,-0.0115122322856541
109,8.79903994532868e+17,I start my first job tomorrow I'm excited,0.973834097385406,2,1,0.9206198956621263,-0.0115150233338906
110,8.04152154667659e+17,Got a new job and I'm blessed🙏🏽,0.973830282688141,2,1,0.9204070303920269,-0.0115167245530425
317,6.64533698528735e+17,Start my new job today 💸💰,0.973564088344574,3,1,0.9041338567983846,-0.0116354542124937
318,5.7606296775576e+17,Start my new job today 😁🙌,0.973564088344574,3,1,0.9041338567983846,-0.0116354542124937
319,4.34495998937678e+17,Got the job! Start working Thursday!,0.973555386066437,3,1,0.9035521310255735,-0.0116393362047645
320,1.10422183245703e+18,I start training at my new job tomorrow and I’m excited,0.973553955554962,3,1,0.9034561883265038,-0.0116399743438012
321,6.41680036379038e+17,Start working a new job next week I'm excited 🙌👏,0.973552346229553,3,1,0.9033481457359143,-0.0116406922513383
322,9.55620752560132e+17,I officially got a new job and am moving to New York!!!! YAY,0.973551332950592,3,1,0.9032800607254241,-0.0116411442678036
323,5.79310176542405e+17,I got the job. 🎉,0.973550856113434,3,1,0.9032480051520848,-0.0116413569815972
324,2.50689713457996e+17,I got the job!! Woohooo!,0.97354918718338,3,1,0.903135732137191,-0.0116421014806953
325,5.17731715595637e+17,I start my other job next week 😁😁,0.973545908927918,3,1,0.9029148399748836,-0.0116435638933533
326,1.92729211906175e+17,Got the job!!! 😃😃💰,0.973541140556335,3,1,0.9025926988947379,-0.0116456910478292
1001,1.16409059963034e+18,I just started a new business today 💸💸💸💸,0.972959756851196,4,1,0.8550549519923087,-0.0119051224643315
1002,1.10485689271773e+18,Guys I just got hired at fuckjerry! Good content coming soon!,0.972959399223327,4,1,0.8550202089739253,-0.0119052820966672
1003,1.16663484862829e+17,Got the job at gamestop =],0.972958981990814,4,1,0.8549796662296133,-0.0119054683344661
1004,6.00024587489915e+17,Start my first day on the floor on Tuesday,0.972958743572235,4,1,0.854956494487163,-0.0119055747561014
1005,1.15802114340571e+18,Feels good to be excited to start a new job 😂,0.972957372665405,4,1,0.8548231940067342,-0.0119061866810107
1006,1.04535337985631e+18,"I’m so excited to start my new job, get my new car 😍😍😍 everything’s finally coming together!!!",0.972957253456116,4,1,0.8548115975902917,-0.0119062398919129
1007,3.85137401959416e+17,Got the job!  #superexcited,0.972956836223602,4,1,0.8547710037424572,-0.011906426130123
1008,1.6483586525902e+17,Everything is coming together now. Start my new job on Monday woot woot!!,0.972956478595733,4,1,0.8547362011034172,-0.0119065857629379
1009,7.05818547042312e+17,"Today is a great day, i got a new job!! Feeling happy 😁🤑",0.972955942153931,4,1,0.8546839834484763,-0.0119068252122698
1010,1.0853038232441e+18,i start my new job today let’s see how long i last here without wanting to quit lmao,0.972955226898193,4,1,0.8546143343367467,-0.0119071444782518
2155,3.00006787342549e+17,This week is going so good! I got hired at a Dr office then i have an interview tmrrw and I'm about to get some good money from my side job!,0.972316145896912,5,1,0.7799853517828187,-0.0121925024660499
2156,2.04714077757514e+17,Got the job at justice 💗💗,0.972315609455108,5,1,0.7799118627944244,-0.0121927420730755
2157,2.43477862026461e+17,I got my new phone &amp;&amp; the mail! #Yayy,0.97231525182724,5,0,0.7798628598016288,-0.0121929018111653
2158,5.13010801054351e+17,Got the job! So excited for all the good things headed this way!,0.972314774990082,5,1,0.7797975096176519,-0.0121931147953769
2159,3.17090328085664e+17,I got my first modeling job! :D,0.972314655780792,5,1,0.7797811697751257,-0.0121931680414463
2160,2.53866910830191e+17,I got the job #blessed,0.972314655780792,5,1,0.7797811697751257,-0.0121931680414463
2161,4.86670285689876e+17,Got a 2nd job at pacsun😎👌,0.972314238548279,5,1,0.7797239730927121,-0.0121933544027398
2162,7.76512634845798e+17,I'm home yay !,0.972313761711121,5,0,0.77965859167684,-0.0121935673871733
2163,3.45575400795144e+17,Got the second job (:,0.972313582897186,5,1,0.7796340698565997,-0.0121936472563631
2164,2.85531669962826e+17,Finally got my new phone!! #happygirl,0.972312748432159,5,0,0.7795196073679962,-0.0121940199794418
4642,1.33972436055097e+17,I just got a lease and I have 3 more appointments! Today's a good day!,0.971372187137604,6,0,0.6236172298040272,-0.0126143356432881
4643,2624992867.0,"Got my new car yay, off to sleep, back to work tomorrow...",0.971371293067932,6,0,0.6234469113111061,-0.0126147353764787
4644,7.26121046085108e+17,I got it I got it so happy I start tomorrow https://t.co/r2y5mYwhfQ,0.971371173858643,6,1,0.6234241997580077,-0.012614788674265
4645,2.29195319785701e+17,Woooooooo I got paid! Money!!!!,0.971370935440064,6,0,0.6233787749437301,-0.0126148952698576
4646,3.7497025689027e+17,Start class on Monday,0.97137063741684,6,0,0.623321990724496,-0.0126150285143853
4647,7.710951893057e+17,Got the day off tomorrow. #tropicalstorm,0.971369922161102,6,0,0.6231856940934819,-0.0126153483014188
4648,7.5234743746168e+17,finally ordered my own go pro!!,0.971369922161102,6,0,0.6231856940934819,-0.0126153483014188
4649,9.17571608134541e+17,"Got a job, class wasnt so bad and got some chocolates.  Not that bad of a Monday",0.971369743347168,6,1,0.6231516167379418,-0.0126154282482138
4650,3.83319938347594e+17,I got my new suite! 😃😍👍👌💃,0.97136914730072,6,0,0.6230380163202563,-0.0126156947376371
4651,5.76317755131077e+17,“@MindOnMyLyrics_: I got the job!!” 💃💃💃💃💃🙌🙌🙌🙌🙌,0.971368253231049,6,1,0.62286758908203,-0.0126160944720782
10001,5.44303475065377e+17,i found a lighter!!!!,0.96985536813736,7,0,0.3263561615819573,-0.0132930260463022
10002,3.64784937871745e+17,I just got paid and I got a little money to burnn.,0.969855189323425,7,0,0.3263248038402319,-0.0132931061179448
10003,1.78354948185137e+17,Today was a gud day :) finally got out the house,0.969854950904846,7,0,0.3262829963808977,-0.0132932128801574
10004,7.71113996686549e+17,Finally employed again 😭🤘🏼,0.969854831695556,7,1,0.3262620938782006,-0.0132932662612738
10005,1.03770630300996e+18,I got my birthday balloons🎈 https://t.co/P2WMAfpZDX,0.969854831695556,7,0,0.3262620938782006,-0.0132932662612738
10006,4.8364391103896e+17,I made the orchestra! #excited,0.969854593276978,7,0,0.3262202913276125,-0.0132933730235254
10007,5.42137166982566e+17,anyway getting ready for bed wooooo. I start my shift an hour and fifteen minutes before the store opens.,0.969854474067688,7,0,0.32619939127950814,-0.0132934264046615
10008,5.43235336101323e+17,I got the internship with Paladino Casting guys! So happy :),0.969853699207306,7,1,0.3260635609171973,-0.0132937733822046
10009,8.11021428925534e+17,@chelsjromero_ girl that was the other night. 😏 lol nah esque I started a new job 2day &amp; I'm exhaustedddddd.,0.969853699207306,7,1,0.3260635609171973,-0.0132937733822046
10010,8334239351.0,I got the time right today! yay! (#socialmediatv live at http://ustre.am/2NjV),0.969852447509766,7,0,0.325844215723007,-0.0132943338849751
17783,1.05592519625801e+18,Just started learning #HTML today for my new job. What do you think? 🤷‍♂️ https://t.co/OtmW8PvaZP,0.968068540096283,8,1,0.11293600939869786,-0.0140938931752531
17784,8.60697860018274e+17,Today is going pretty well so far.,0.968068540096283,8,0,0.11293600939869786,-0.0140938931752531
17785,9.48271604970046e+17,Finally got my cut 😝,0.968068301677704,8,0,0.11291928745089053,-0.0140940001345042
17786,7.86016550956388e+17,I got the jeep 😎,0.968068182468414,8,0,0.11291092737232136,-0.0140940536141398
17787,1.17783670143302e+18,I found a barber!!! Twitter y’all don’t know how excited and relieved I am about this!,0.968067944049835,8,0,0.11289420900580711,-0.0140941605734303
17788,2.85827609575715e+17,finishing the old year and starting the new one right! look for new work soon,0.968067646026611,8,0,0.11287331440452326,-0.0140942942725807
17789,5236803920.0,Just got my braces off yay! :D,0.968067646026611,8,0,0.11287331440452326,-0.0140942942725807
17790,1.0401523096516e+18,"I just got home from work!

Worked an 11 hour day, almost a 12 lol

All worth cuz I got tomorrow off!!!

Tomorrow’s a day for grinding blackout!

Les get it and goodnight!!",0.968067407608032,8,0,0.11285660140862556,-0.0140944012319305
17791,1.50225791974769e+17,"Finally down to my last work day after 10 straight days working... got the weekend off, YAY!!! (@ Verizon Wireless) http://t.co/F6dPjAyV",0.968067169189453,8,0,0.1128398907991616,-0.0140945081913066
17792,8.49314612302541e+17,Got it!! 🔽🔽😎👍🏽 https://t.co/jTq0rlDqOh,0.96806526184082,8,0,0.11270629179731548,-0.0140953638672646
31623,2.92542502240649e+17,"#LonerProblems: It's The #weekend just got paid, but my friends don't love me tonight so I'm home while there all out #Unloved #Bored #Boo",0.965254962444305,9,0,0.018946398705406226,-0.015357956959403
31624,6.60969097782407e+17,Finished my labs 3weeks ahead of schedule.. 👌,0.965254724025726,9,0,0.018943493463667693,-0.0153580642304247
31625,4.57308153118355e+17,@FinestAlejandro @LegitAsDanyboy I just got out the ranch fuga!,0.965254604816437,9,0,0.018942041008666897,-0.0153581178659453
31626,3.57080134362112e+16,I just became the mayor of Vithos on @foursquare! http://4sq.com/i1o4BM,0.965254366397858,9,0,0.018939136430335048,-0.0153582251370067
31627,3.15823994303562e+17,Just ran my first race!! I just finished a 3.26 mi run with Nike+ Running. http://t.co/YxxVRHECD4 #nikeplus,0.965254306793213,9,0,0.018938410354844042,-0.0153582519547763
31628,4.64762413871804e+17,Found my first four-leaf clover 🍀,0.965254068374634,9,0,0.0189355063292383,-0.0153583592258709
31629,6.82745411631747e+17,🎶 My soundtrack to start the new year. https://t.co/jeRFko47Oq,0.965254068374634,9,0,0.0189355063292383,-0.0153583592258709
31630,6783494048.0,Home!! Going to bed. Tomorrows the last day of exams!! Yay!!,0.965253829956055,9,0,0.01893260274573922,-0.015358466496992
31631,8.99533166800765e+17,I start classes in the morning &amp; I can't fall asleep the night before.. I'm already off to a great start. 🙂,0.965253710746765,9,0,0.01893115111975332,-0.0153585201325627
31632,1.71049205056553e+17,Finally arrived at the studio! Waiting for the class to be over :),0.965253710746765,9,0,0.01893115111975332,-0.0153585201325627
56235,1.15059868977539e+18,I started the game Sacred 2: Fallen Angel #TrueAchievements https://t.co/KVsOV4gr3c,0.960142970085144,10,0,0.0007088545098611151,-0.0176640935271118
56236,1.7810837759395e+17,I just became the mayor of Plotwatt on @foursquare! http://t.co/6wnU5eNg,0.960142970085144,10,0,0.0007088545098611151,-0.0176640935271118
56237,7.67751481332081e+17,First day of classes &amp; it's also Monday 😓,0.960142552852631,10,0,0.0007086657646454654,-0.017664282250899
56238,6.09123326783525e+17,Finally got the text 😂😂 my day got better,0.960142552852631,10,0,0.0007086657646454654,-0.017664282250899
56239,2.5682202380691e+17,Finally finish in my room!,0.960142314434052,10,0,0.0007085579329292839,-0.0176643900930999
56240,8.4787981466914e+17,Got paid yesterday I have $50 to my name till my Nxt paycheck 🙄🙄🙄,0.960142314434052,10,0,0.0007085579329292839,-0.0176643900930999
56241,1.15152183320582e+18,Finally found wifi at the mf beach,0.960141897201538,10,0,0.000708369267128867,-0.0176645788170163
56242,6.87729542715195e+17,Starting out the day right. #kasasaacapella #kasasalove #theyrockedit https://t.co/nun110m9Io,0.960141539573669,10,0,0.0007082075937958336,-0.0176647405804384
56243,8.00766674886607e+17,Monday let's start another work week  God bless all,0.960141539573669,10,0,0.0007082075937958336,-0.0176647405804384
56244,1.2146898700415e+18,I finally got outside and did 30 minutes of cardio 🙌🏼,0.960141539573669,10,0,0.0007082075937958336,-0.0176647405804384
100001,7.35137923293553e+17,I have 3 new goals. I reached all my old 1s,0.948167562484741,11,0,3.8709847395154436e-07,-0.0231149062991246
100002,4.80114092691046e+17,Just got this workout done and now it's time for the freakin weekend to begin! 💪💪💪 http://t.co/z8Emy7eMy6,0.948167204856873,11,0,3.870127229409547e-07,-0.0231150701054444
100003,5.54148164127982e+17,Got the cousins over 😄 http://t.co/LUNmO6txn0,0.948167026042938,11,0,3.8696985457565934e-07,-0.0231151520086279
100004,7.60325293223645e+17,I FOUND THE OLD EPISODES OF HANNAH MONTANA!!! HAJAPSOSJDBD!!!!,0.948167026042938,11,0,3.8696985457565934e-07,-0.0231151520086279
100005,4.14593197889696e+17,Got 4th tonight in the rc race! Cant complain. It was a real funn day!,0.948166787624359,11,0,3.8691270415896233e-07,-0.0231152612128962
100006,2.97126808221e+17,Got in a nice run after work this afternoon.  Now I'm ready to round up something for dinner.,0.948165714740753,11,0,3.866556319578398e-07,-0.0231157526324434
100007,3.02908693584957e+17,Just got off work and it's snowing ...😒,0.948165535926819,11,0,3.8661280323863533e-07,-0.0231158345357551
100008,3.82985622874776e+17,Got a date Friday with @Si_Michelle 😊😘,0.948164641857147,11,0,3.863987309569032e-07,-0.0231162440525466
100009,1.160914291069e+18,A little chuckle to start your Monday! https://t.co/c4zOT1mjRk,0.948164641857147,11,0,3.863987309569032e-07,-0.0231162440525466
100010,6.33980074874794e+17,Up blessed and thankful! 🚜 flow at work today! Last day 3 days off love this shift!,0.948164343833923,11,0,3.8632739993503865e-07,-0.0231163805582295
158490,3.13829999297851e+17,I had one hella fun weekend! 😉,0.906894385814667,12,0,4.2140747874236825e-18,-0.0424432866208327
158491,5.64675515986874e+17,Actually excited for this new workout tomorrow. 💪,0.906894087791443,12,0,4.2133107647487826e-18,-0.0424434293385129
158492,4.36289337928319e+17,I get payed tomorrow 💸,0.906892716884613,12,0,4.209798044487032e-18,-0.0424440858404457
158493,3.58765941519172e+17,bout to start this damn night,0.90688568353653,12,0,4.191822272422697e-18,-0.0424474539964024
158494,3.44301110900716e+17,I unlocked 5 Xbox achievements in Aegis Wing! http://t.co/s6BhpjYQG7,0.906885147094727,12,0,4.190454394044641e-18,-0.0424477108907255
158495,1.06388446582142e+18,Starting this weekend. https://t.co/pMxs6loepJ,0.906884372234344,12,0,4.188479357843434e-18,-0.042448081960572
158496,4.89954664046416e+17,"It's pay day to my last day,",0.906880855560303,12,0,4.179527426702787e-18,-0.042449766050781
158497,3.11516969490842e+17,Going to my first hockey game tonight. Supes excite!,0.906879603862762,12,0,4.176345765943144e-18,-0.042450365474296
158498,9.3915882324745e+17,// sorry for not being here much. I started a medication and it had made me really sick. I start a different one today. Hopefully it won't fuck me up like the last one did.,0.906876266002655,12,0,4.167873175304687e-18,-0.0424519639410466
158499,5.22161951380484e+17,Got halloween weekend offf 😈😈😈😤😤😤💪💪💪,0.906875729560852,12,0,4.1665131133258124e-18,-0.0424522208380374
251189,1.1640022510332e+18,"I found out what I wanna do with my life...

Professional Ice Cream Eater 😂👌

🍨 🍦 🍨 🍦🍨🍦🍨🍦🍨🍦🍨",0.663565635681152,13,0,3.7609061611942894e-82,-0.178116113034185
251190,4.07301630724284e+17,Tmrw is my last day at football 😭😭 now #bball starts,0.663559436798096,13,0,3.7468270346277736e-82,-0.1781201701359021
